gmeLabel,flag
Nieuwer-Amstel,http://commons.wikimedia.org/wiki/Special:FilePath/Amstelveen%20flag.svg
Warder,
Nieuwendam,
Schellingwoude,
Berkhout,
Barsingerhorn,
Sint Pancras,
Wimmenum,
Spanbroek,
Warmenhuizen,http://commons.wikimedia.org/wiki/Special:FilePath/Warmenhuizen%20vlag%201973.svg
Kortenhoef,
Ankeveen,
Avenhorn,
Spaarnwoude,
Scharwoude,
Wijk aan Zee en Duin,
Grosthuizen,
Oudkarspel,
Wieringerwaard,
Broek op Langedijk,
Sint Maarten,
Schoten,
Ransdorp,
Oterleek,
Wijdewormer,http://commons.wikimedia.org/wiki/Special:FilePath/Wijdewormer%20vlag.svg
Schellinkhout,
Bijlmermeer,
Venhuizen,http://commons.wikimedia.org/wiki/Special:FilePath/Venhuizen%20vlag.svg
Venhuizen,http://commons.wikimedia.org/wiki/Special:FilePath/Venhuizen%20vlag2.svg
Oude Niedorp,
's-Gravendeel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20%27s-Gravendeel.svg
Wageningen,http://commons.wikimedia.org/wiki/Special:FilePath/Wageningen%20flag.svg
Arnhem,http://commons.wikimedia.org/wiki/Special:FilePath/VlagArnhem.svg
Ede,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ede.svg
Berkelland,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Berkelland.svg
Nijmegen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Nijmegen.svg
Hattem,http://commons.wikimedia.org/wiki/Special:FilePath/Hattem%20vlag.svg
Harderwijk,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Harderwijk.svg
Winterswijk,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Winterswijk.svg
Wijchen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Wijchen.svg
Groenlo,http://commons.wikimedia.org/wiki/Special:FilePath/Groenlo%20vlag.svg
Buren,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Buren.svg
Dieren,
Deil,
Tiel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tiel.svg
Nijkerk,http://commons.wikimedia.org/wiki/Special:FilePath/Nijkerk%20vlag.svg
Apeldoorn,http://commons.wikimedia.org/wiki/Special:FilePath/Apeldoorn%20vlag.svg
Elst,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Elst%2C%20Gelderland.svg
Doetinchem,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Doetinchem.svg
Barneveld,http://commons.wikimedia.org/wiki/Special:FilePath/Barneveld%20vlag.svg
Elburg,http://commons.wikimedia.org/wiki/Special:FilePath/Elburg%20vlag.svg
Doesburg,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Doesburg.svg
Gorssel,http://commons.wikimedia.org/wiki/Special:FilePath/Gorssel%20vlag.svg
Geesteren,
Geldermalsen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Geldermalsen.svg
Zevenaar,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zevenaar.svg
Epe,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Epe.svg
Etten,
Aalten,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Aalten.svg
Steenderen,http://commons.wikimedia.org/wiki/Special:FilePath/Steenderen%20vlag.svg
Herwen en Aerdt,
Ubbergen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ubbergen.svg
Rozendaal,http://commons.wikimedia.org/wiki/Special:FilePath/Rozendaal%20vlag.svg
Voorst,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Voorst.svg
Rijnwaarden,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Rijnwaarden.svg
Westervoort,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Westervoort.svg
Wamel,
Overbetuwe,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Overbetuwe.svg
Duiven,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Duiven.svg
Heerde,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Heerde.svg
West Maas en Waal,http://commons.wikimedia.org/wiki/Special:FilePath/West%20Maas%20en%20Waal-vlag.svg
Lichtenvoorde,http://commons.wikimedia.org/wiki/Special:FilePath/Lichtenvoorde%20vlag.svg
Renkum,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Renkum.svg
Bronckhorst,http://commons.wikimedia.org/wiki/Special:FilePath/Bronckhorst%20vlag.svg
Ermelo,http://commons.wikimedia.org/wiki/Special:FilePath/Ermelo%20vlag.svg
Culemborg,http://commons.wikimedia.org/wiki/Special:FilePath/Culemborg%20flag%20correct.svg
Bergh,http://commons.wikimedia.org/wiki/Special:FilePath/Bergh%20vlag.svg
Brummen,http://commons.wikimedia.org/wiki/Special:FilePath/Brummen%20vlag.svg
Rheden,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Rheden.svg
Beuningen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Gemeente%20Beuningen%20%28symbol%20variant%29.svg
Maasdriel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Maasdriel.svg
Nunspeet,http://commons.wikimedia.org/wiki/Special:FilePath/Nunspeet%20vlag.svg
Oude IJsselstreek,http://commons.wikimedia.org/wiki/Special:FilePath/Oude%20IJsselstreek%20vlag.svg
Oldebroek,http://commons.wikimedia.org/wiki/Special:FilePath/Oldebroek%20vlag.svg
Lochem,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lochem.svg
Neerijnen,http://commons.wikimedia.org/wiki/Special:FilePath/Neerijnen%20vlag.svg
Druten,http://commons.wikimedia.org/wiki/Special:FilePath/Druten%20vlag.svg
Heumen,http://commons.wikimedia.org/wiki/Special:FilePath/Heumen%20vlag.svg
Weurt,
Putten,http://commons.wikimedia.org/wiki/Special:FilePath/Putten%20vlag.svg
Scherpenzeel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Scherpenzeel.svg
Hummelo,
Puiflijk,
Voorthuizen,http://commons.wikimedia.org/wiki/Special:FilePath/Voorthuizen%20vlag.svg
Lingewaard,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lingewaard.svg
Lingewaal,http://commons.wikimedia.org/wiki/Special:FilePath/Lingewaal%20vlag.svg
Montferland,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20montferland.svg
Neder-Betuwe,http://commons.wikimedia.org/wiki/Special:FilePath/Neder-Betuwe%20vlag%202014.svg
Ambt Ommen,
Stad Delden,
Ambt Almelo,
Avereest,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Avereest%2C%20Netherlands.svg
Ambt Delden,http://commons.wikimedia.org/wiki/Special:FilePath/Ambt%20Delden%20vlag.svg
Ambt Vollenhove,
Ambt Hardenberg,
Weerselo,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Weerselo.svg
Lonneker,
Genemuiden,http://commons.wikimedia.org/wiki/Special:FilePath/Genemuiden%20vlag.svg
Wilsum,
Zalk en Veecaten,
Den Ham,http://commons.wikimedia.org/wiki/Special:FilePath/Den%20Ham%20vlag.svg
Stad Vollenhove,
Blankenham,
Stad Ommen,
Wanneperveen,http://commons.wikimedia.org/wiki/Special:FilePath/Wanneperveen%20vlag.svg
Olst,http://commons.wikimedia.org/wiki/Special:FilePath/Olst%20vlag.svg
Holten,http://commons.wikimedia.org/wiki/Special:FilePath/Holten%20vlag.svg
Steenwijkerwold,http://commons.wikimedia.org/wiki/Special:FilePath/Steenwijkerwold%20vlag.svg
Vriezenveen,http://commons.wikimedia.org/wiki/Special:FilePath/Vriezenveen%20vlag.svg
Stad Hardenberg,
Stad Almelo,
Hardenberg,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hardenberg.svg
Denekamp,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Dinkelland.svg
Kampen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kampen.svg
Kamperveen,
Vollenhove,
Wijhe,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Wijhe.gif
Kuinre,
IJsselham,
Oldemarkt,
Giethoorn,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Giethoorn.svg
Zwolle,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zwolle.svg
Assen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Assen.svg
Almelo,http://commons.wikimedia.org/wiki/Special:FilePath/Almelo%20flag%20outline.svg
Hof van Twente,http://commons.wikimedia.org/wiki/Special:FilePath/Hof%20van%20Twente%20vlag.svg
Borne,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Borne%20%28Overijssel%29.svg
Dalfsen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Dalfsen.svg
Dinkelland,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Dinkelland.svg
Deventer,http://commons.wikimedia.org/wiki/Special:FilePath/Deventer%20vlag.svg
Enschede,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Enschede.svg
Haaksbergen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Haaksbergen.svg
Hellendoorn,http://commons.wikimedia.org/wiki/Special:FilePath/Hellendoorn%20vlag.svg
Hengelo,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hengelo%2C%20Overijssel.svg
Losser,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Losser.svg
Oldenzaal,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Oldenzaal.svg
Olst-Wijhe,http://commons.wikimedia.org/wiki/Special:FilePath/Olst-Wijhe%20vlag.svg
Ommen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ommen.svg
Raalte,http://commons.wikimedia.org/wiki/Special:FilePath/Raalte%20vlag.svg
Rijssen-Holten,http://commons.wikimedia.org/wiki/Special:FilePath/Rijssen-Holten%20vlag.svg
Staphorst,http://commons.wikimedia.org/wiki/Special:FilePath/Staphorst%20vlag.svg
Steenwijkerland,http://commons.wikimedia.org/wiki/Special:FilePath/Steenwijkerland%20vlag.svg
Tubbergen,http://commons.wikimedia.org/wiki/Special:FilePath/Tubbergen%20vlag.svg
Twenterand,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Twenterand.svg
Wierden,http://commons.wikimedia.org/wiki/Special:FilePath/Wierden%20vlag.svg
Zwartewaterland,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zwartewaterland.svg
Emmen,http://commons.wikimedia.org/wiki/Special:FilePath/Emmen%20vlag.svg
Blokzijl,http://commons.wikimedia.org/wiki/Special:FilePath/Blokzijl%20vlag.svg
Meppel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Meppel.svg
Coevorden,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Coevorden.svg
Noordoostpolder,http://commons.wikimedia.org/wiki/Special:FilePath/Noordoostpolder%20vlag.svg
Schokland,
Hasselt,http://commons.wikimedia.org/wiki/Special:FilePath/Hasselt%20%28OV%29%20vlag.svg
Hoogeveen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hoogeveen.svg
Zweeloo,http://commons.wikimedia.org/wiki/Special:FilePath/Zweeloo%20vlag.svg
Zwollerkerspel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zwollerkerspel%2C%20Netherlands.svg
Urk,http://commons.wikimedia.org/wiki/Special:FilePath/Urker%20vlag%20met%20schelvis%2025-12-2016.svg
Aa en Hunze,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Aa%20en%20Hunze.svg
Nieuwleusen,http://commons.wikimedia.org/wiki/Special:FilePath/Nieuwleusen%20vlag.svg
Vries,http://commons.wikimedia.org/wiki/Special:FilePath/Vries%20vlag.svg
Westerveld,http://commons.wikimedia.org/wiki/Special:FilePath/Westerveld%20gemeentevlag.svg
Vledder,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Vledder.gif
Grafhorst,
Noordenveld,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Noordenveld.svg
De Wolden,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20De%20Wolden.svg
Borger-Odoorn,http://commons.wikimedia.org/wiki/Special:FilePath/Borger-Odoorn%20vlag.svg
Midden-Drenthe,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Midden-Drenthe.svg
Tynaarlo,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tynaarlo.svg
Markelo,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Markelo%2C%20Netherlands.svg
Brederwiede,
Norg,http://commons.wikimedia.org/wiki/Special:FilePath/Norg%20vlag.svg
Ruinen,http://commons.wikimedia.org/wiki/Special:FilePath/Ruinen%20vlag.svg
IJsselmuiden,http://commons.wikimedia.org/wiki/Special:FilePath/Ijsselmuiden%20vlag%201938.svg
IJsselmuiden,http://commons.wikimedia.org/wiki/Special:FilePath/Ijsselmuiden%20vlag%201994.svg
Havelte,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Havelte.gif
Dalen,http://commons.wikimedia.org/wiki/Special:FilePath/Dalen%20vlag.svg
Peize,http://commons.wikimedia.org/wiki/Special:FilePath/Peize%20vlag.svg
Schoonebeek,http://commons.wikimedia.org/wiki/Special:FilePath/Schoonebeek%20Flag.svg
Gasselte,http://commons.wikimedia.org/wiki/Special:FilePath/Gasselte%20vlag.svg
Beilen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20beilen.gif
Smilde,http://commons.wikimedia.org/wiki/Special:FilePath/Smilde%20vlag.svg
Rolde,http://commons.wikimedia.org/wiki/Special:FilePath/Rolde%20vlag.svg
Borger,http://commons.wikimedia.org/wiki/Special:FilePath/Borger%20vlag.svg
Diever,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Diever.gif
Odoorn,http://commons.wikimedia.org/wiki/Special:FilePath/Odoorn%20vlag.svg
Gieten,http://commons.wikimedia.org/wiki/Special:FilePath/Gieten%20vlag.svg
Nijeveen,http://commons.wikimedia.org/wiki/Special:FilePath/Nijeveen%20vlag.svg
Hindeloopen,
Stavoren,
Dokkum,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Dokkum.svg
Workum,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Workum.svg
Franeker,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Franeker.svg
Anloo,http://commons.wikimedia.org/wiki/Special:FilePath/Anloo%20vlag.svg
Sleen,
Oosterhesselen,
Eelde,http://commons.wikimedia.org/wiki/Special:FilePath/Eelde%20vlag.svg
Westerbork,
Middenveld,
De Wijk,http://commons.wikimedia.org/wiki/Special:FilePath/De%20Wijk%20vlag.svg
Wonseradeel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Wonseradeel.svg
Witmarsum,http://commons.wikimedia.org/wiki/Special:FilePath/Wytmarsum%20vlag.svg
Wommels,http://commons.wikimedia.org/wiki/Special:FilePath/Wommels%20vlag.svg
Drachten,http://commons.wikimedia.org/wiki/Special:FilePath/Drachten%20vlag.svg
Buitenpost,http://commons.wikimedia.org/wiki/Special:FilePath/Buitenpost%20vlag.svg
Terschelling,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Terschelling.svg
Vlieland,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Vlieland.svg
Schiermonnikoog,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Schiermonnikoog.svg
Ameland,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ameland.svg
Skarsterlân,http://commons.wikimedia.org/wiki/Special:FilePath/Skarsterlan%20flag.svg
Ooststellingwerf,http://commons.wikimedia.org/wiki/Special:FilePath/Ooststellingwerf%20flag.svg
Bolsward,http://commons.wikimedia.org/wiki/Special:FilePath/Bolsward%20flag.svg
Achtkarspelen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Achtkarspelen.svg
Dantumadeel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Dantumadeel.svg
Menaldumadeel,http://commons.wikimedia.org/wiki/Special:FilePath/Menaldumadeel%20flag.svg
Makkum,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Makkum.svg
Wonseradeel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Wonseradeel.svg
Staveren,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Staveren.svg
Smallingerland,http://commons.wikimedia.org/wiki/Special:FilePath/Smallingerland%20flag.svg
Heerenveen,http://commons.wikimedia.org/wiki/Special:FilePath/Heerenveen%20flag.svg
Baarderadeel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Baarderadeel.svg
Nijefurd,http://commons.wikimedia.org/wiki/Special:FilePath/Nijefurd%20flag.svg
Franekeradeel,http://commons.wikimedia.org/wiki/Special:FilePath/Franekeradeel%20flag.svg
Ferwerderadiel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ferwerderadiel.svg
Weststellingwerf,http://commons.wikimedia.org/wiki/Special:FilePath/Weststellingwerf%20flag.svg
Leeuwarderadeel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Leeuwarderadeel.svg
Lemsterland,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lemsterland.svg
Opsterland,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Opsterland.svg
Tytsjerksteradiel,http://commons.wikimedia.org/wiki/Special:FilePath/Tytsjerksteradiel%20flag.svg
Boornsterhim,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Boarnsterhim.svg
Wymbritseradiel,http://commons.wikimedia.org/wiki/Special:FilePath/Wymbritseradiel%20flag.svg
Gaasterland-Sloten,http://commons.wikimedia.org/wiki/Special:FilePath/Gaasterlan-Sleat%20flag.svg
het Bildt,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Het%20Bildt.svg
Dongeradeel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Dongeradeel.svg
Littenseradiel,http://commons.wikimedia.org/wiki/Special:FilePath/Littenseradiel%20flag.svg
Surhuizum,http://commons.wikimedia.org/wiki/Special:FilePath/Surhuzum%20vlag.svg
Sexbierum,
Bergum,http://commons.wikimedia.org/wiki/Special:FilePath/Bergum%20vlag.svg
Heeg,http://commons.wikimedia.org/wiki/Special:FilePath/Heech%20vlag.svg
Woudsend,http://commons.wikimedia.org/wiki/Special:FilePath/Woudsend%20vlag.svg
Hardegarijp,http://commons.wikimedia.org/wiki/Special:FilePath/Hardegarijp%20vlag.svg
Súdwest-Fryslân,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%BAdwest-Frysl%C3%A2n%20vlag.svg
Grou,http://commons.wikimedia.org/wiki/Special:FilePath/Grou%20vlag.svg
Gaasterland,http://commons.wikimedia.org/wiki/Special:FilePath/Gaasterl%C3%A2n%20vlag%201963.svg
Rinsumageest,http://commons.wikimedia.org/wiki/Special:FilePath/Rinsumageast%20vlag.svg
Hemelumer Oldeferd,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hemelumer%20Oldeferd.svg
Haskerland,http://commons.wikimedia.org/wiki/Special:FilePath/Haskerl%C3%A2n%20vlag.svg
Wymbritseradeel,
Sneek,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sneek.svg
Wirdum,http://commons.wikimedia.org/wiki/Special:FilePath/Wurdum%20vlag.svg
Westdongeradeel,http://commons.wikimedia.org/wiki/Special:FilePath/Flagge%20fan%20Westdongeradiel.png
Augustinusga,http://commons.wikimedia.org/wiki/Special:FilePath/Augustinusga%20flag.svg
Doniawerstal,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Doniawerstal.svg
Gorredijk,http://commons.wikimedia.org/wiki/Special:FilePath/Gorredijk%20vlag.svg
De Friese Meren,http://commons.wikimedia.org/wiki/Special:FilePath/De%20Friese%20Meren%20vlag.svg
Almenum,
Aengwirden,
Koudum,http://commons.wikimedia.org/wiki/Special:FilePath/Koudum%20flag.svg
Hennaarderadeel,http://commons.wikimedia.org/wiki/Special:FilePath/Hinnaarderadiel%20vlag.svg
Mildam,http://commons.wikimedia.org/wiki/Special:FilePath/Mildam%20vlag.svg
Utingeradeel,http://commons.wikimedia.org/wiki/Special:FilePath/Utingeradeel%20vlag.gif
Utingeradeel,http://commons.wikimedia.org/wiki/Special:FilePath/Utingeradiel%20vlag.svg
Leeuwarden,http://commons.wikimedia.org/wiki/Special:FilePath/Leeuwarden%20vlag%202014.svg
Joure,http://commons.wikimedia.org/wiki/Special:FilePath/De%20Jouwer%20vlag.svg
Ureterp,http://commons.wikimedia.org/wiki/Special:FilePath/Oerterp%20vlag.svg
Rauwerderhem,http://commons.wikimedia.org/wiki/Special:FilePath/Rauwerderhem%20vlag.svg
Sonnega,
Arum,http://commons.wikimedia.org/wiki/Special:FilePath/Arum%20vlag.svg
Harlingen,http://commons.wikimedia.org/wiki/Special:FilePath/Harlingen%20flag.svg
Tjalleberd,
Marsum,
Barradeel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Barradeel.svg
Minnertsga,http://commons.wikimedia.org/wiki/Special:FilePath/Minnertsgea%20vlag.svg
Tjerkwerd,http://commons.wikimedia.org/wiki/Special:FilePath/Tsjerkwerd%20vlag.svg
Noordwolde,
Beetsterzwaag,http://commons.wikimedia.org/wiki/Special:FilePath/Beetsterzwaag%20vlag.svg
Oosterwolde,
Langezwaag,http://commons.wikimedia.org/wiki/Special:FilePath/Langsweagen%20vlag.svg
Nijland,http://commons.wikimedia.org/wiki/Special:FilePath/Nijland%20vlag.svg
Dantumawoude,http://commons.wikimedia.org/wiki/Special:FilePath/Dantumawoude%20vlag.svg
Sint Annaparochie,http://commons.wikimedia.org/wiki/Special:FilePath/Sint-Anne%20vlag.svg
IJlst,
Oostdongeradeel,
Veenwouden,http://commons.wikimedia.org/wiki/Special:FilePath/Veenwouden%20vlag.svg
Rauwerd,http://commons.wikimedia.org/wiki/Special:FilePath/Raerd%20vlag.svg
Schoterland,
Oenkerk,http://commons.wikimedia.org/wiki/Special:FilePath/Oentsjerk%20vlag.svg
Idaarderadeel,http://commons.wikimedia.org/wiki/Special:FilePath/Idaerderadiel%20vlag.svg
Tjum,
Noordbroek,
Zuidbroek,
Baflo,
't Zandt,
Kloosterburen,http://commons.wikimedia.org/wiki/Special:FilePath/Kloosterburen%20vlag.svg
Finsterwolde,http://commons.wikimedia.org/wiki/Special:FilePath/Finsterwolde%20vlag.svg
Hoogezand,http://commons.wikimedia.org/wiki/Special:FilePath/Hoogezand%20vlag.svg
Adorp,
Aduard,
Beerta,http://commons.wikimedia.org/wiki/Special:FilePath/Beerta%20vlag%20Vexilla%20Nostra%201983.svg
Grijpskerk,
Harkstede,
Nieuweschans,
Eemsdelta,http://commons.wikimedia.org/wiki/Special:FilePath/Vlag%20Eemsdelta.jpg
Utrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Utrecht%20city.svg
Amersfoort,http://commons.wikimedia.org/wiki/Special:FilePath/Amersfoort%20flag%20outline.svg
Veenendaal,http://commons.wikimedia.org/wiki/Special:FilePath/Veenendaal%20Netherlands%20flag.svg
Woerden,http://commons.wikimedia.org/wiki/Special:FilePath/Woerden%20vlag%202017.svg
Baarn,http://commons.wikimedia.org/wiki/Special:FilePath/Baarn%20flag.svg
Bunnik,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bunnik.svg
Bunschoten,http://commons.wikimedia.org/wiki/Special:FilePath/Bunschoten%20vlag.svg
De Bilt,http://commons.wikimedia.org/wiki/Special:FilePath/Vlag%20de%20Bilt.svg
De Ronde Venen,http://commons.wikimedia.org/wiki/Special:FilePath/De%20ronde%20venen%20vlag.svg
Eemnes,http://commons.wikimedia.org/wiki/Special:FilePath/Eemnes%20vlag.svg
Renswoude,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Renswoude.svg
Rhenen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Rhenen.svg
Soest,http://commons.wikimedia.org/wiki/Special:FilePath/Soest%20flag.svg
Stichtse Vecht,http://commons.wikimedia.org/wiki/Special:FilePath/Stichtse%20Vecht%20vlag.svg
Utrechtse Heuvelrug,http://commons.wikimedia.org/wiki/Special:FilePath/Utrechtse%20Heuvelrug%20vlag.svg
Houten,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Houten.svg
IJsselstein,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20IJsselstein.svg
Leusden,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Leusden.svg
Lopik,http://commons.wikimedia.org/wiki/Special:FilePath/Lopik%20vlag.svg
Montfoort,http://commons.wikimedia.org/wiki/Special:FilePath/Montfoort%20vlag.svg
Nieuwegein,http://commons.wikimedia.org/wiki/Special:FilePath/Nieuwegein%20flag.svg
Oudewater,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Oudewater.svg
Vianen,http://commons.wikimedia.org/wiki/Special:FilePath/Vianen%20vlag.svg
Wijk bij Duurstede,http://commons.wikimedia.org/wiki/Special:FilePath/Wijk%20bij%20Duurstede%20vlag.svg
Woudenberg,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Woudenberg.svg
Zeist,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zeist.svg
Vreeland,
Loosdrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Loosdrecht%20vlag.svg
Abcoude,http://commons.wikimedia.org/wiki/Special:FilePath/Abcoude%20vlag.svg
Baambrugge,
Breukelen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Breukelen.svg
Oudenrijn,
Mijdrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Mijdrecht%20vlag%201963.svg
Breukelen-Sint Pieters,
Polsbroek,
Vleuten,
Jaarsveld,
Loenen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Loenen.PNG
Vinkeveen en Waverveen,http://commons.wikimedia.org/wiki/Special:FilePath/Vinkeveen%20vlag%201973.svg
Vleuten-De Meern,http://commons.wikimedia.org/wiki/Special:FilePath/Vleuten-De%20Meern%20vlag.svg
Amerongen,http://commons.wikimedia.org/wiki/Special:FilePath/Vlag%20Amerongen.jpg
Maarn,http://commons.wikimedia.org/wiki/Special:FilePath/Maarn%20vlag.svg
Achttienhoven,
Jutphaas,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Jutphaas.svg
Darthuizen,
Indijk,
Achthoven,
Odijk,
Tull en 't Waal,
Zuilen,
Oudhuizen,
Hoenkoop,
Abcoude-Proostdij,
Snelrewaard,http://commons.wikimedia.org/wiki/Special:FilePath/Snelrewaard%20vlag.svg
Loenersloot,
Willeskop,
Oud-Wulven,
Wilnis,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Wilnis.svg
Cabauw,
Waverveen,
Breukelen-Nijenrode,
Ruwiel,
Abcoude-Baambrugge,
Vreeswijk,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Vreeswijk.svg
Maarsseveen,
Linschoten,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Linschoten.svg
Rijsenburg,
De Vuursche,
Werkhoven,
Abstede,
